51300013755,cbg,133,106
51300070159,bfg,45,297
51300082829,ccd,147,224
51300097840,eee,249,101
51300099284,cgc,67,108
51300104160,gdd,249,159
51300219073,dff,237,98
51300262157,aga,53,93
51300282189,faf,29,85
51300288821,fgd,147,98
51300290678,geg,132,82
51300303041,bef,157,28
51300315101,eeb,110,118
51300318016,fcb,256,235
51300362914,egc,86,50
51300383336,aaf,277,57
51300383566,ffc,197,24
51300384244,feg,151,286
51300415194,eda,115,27
51300415631,bce,279,266
51300437776,cce,24,82
51300446861,deg,210,112
51300471107,cge,31,88
51300485715,cfd,29,150
51300510536,bba,258,198
51300560859,baf,252,5
51300630045,bac,103,112
51300640615,fbf,226,165
51300690499,bbb,52,244
51300717642,dag,186,185
51300726892,ece,49,249
51300734026,gfe,164,145
51300751132,cbf,187,215
51300764434,gga,131,71
51300810218,gae,267,79
51300818742,agd,74,261
51300884789,ace,172,259
51300888772,bdg,72,190
51300891892,agg,52,136
51300912114,ade,119,186
51300934564,feg,3,277
51300949154,ecf,94,244
51301026445,ecf,264,231
51301087300,bce,161,303
51301140584,eeg,35,24
51301165189,dcc,41,104
51301198167,gag,278,74
51301264978,bbg,106,162
51301349634,cca,103,218
51301396531,dge,160,234
51301436204,gad,104,242
51301448799,gcb,214,223
51301491665,fcc,89,143
51301538325,gag,216,88
51301538800,ece,212,206
51301581611,edd,34,100
51301589227,bce,91,263
51301605787,ggg,160,273
51301621539,fae,100,54
51301653027,abb,112,98
51301658888,ecb,254,244
51301779984,bgg,117,100
51301781224,ceb,258,216
51301784150,afc,174,254
51301792866,fbd,126,164
51301837746,dbg,1,109
51301847797,ebb,70,60
51301853313,bca,21,57
51301890428,ddf,58,103
51301894249,faf,97,83
51301923256,egb,288,295
51301938328,bbg,157,192
51301958465,fdc,218,289
51301981876,caa,186,81
51302005420,bdd,16,159
51302012687,dgf,36,14
51302016420,gde,126,94
51302029145,cbf,269,184
51302054223,gbc,142,48
51302068734,ggd,219,77
51302086141,gfd,60,73
51302097048,gcc,78,287
51302098499,fcd,197,77
51302113648,eec,19,210
51302131452,dbe,70,218
51302137370,bea,98,225
51302139268,gea,183,115
51302164854,dcc,33,116
51302178241,caf,74,56
51302180197,gec,86,21
51302181475,ced,159,170
51302217988,gbd,18,258
51302270265,gbb,297,168
51302277473,egc,99,57
51302298968,gcf,7,56
51302317586,ffg,127,184
51302357016,bgg,271,94
51302432011,fcc,52,140
51302436735,gbb,193,186
51302439782,bca,104,54
51302467598,dge,228,262
51302472345,cfa,93,119
51302481495,ada,49,97
51302541424,faf,62,77
51302571038,acg,178,275
51302659837,cga,261,123
51302675027,aca,262,38
51302712352,faa,151,17
51302747728,acf,292,38
51302752767,gdg,57,298
51302763990,cac,289,99
51302796987,aab,189,91
51302820324,bca,5,45
51302842278,gbf,242,140
51302844808,bab,141,156
51302857059,deg,61,89
51302858186,cfd,214,177
51302870284,dca,102,83
51302890030,gdb,206,44
51302907906,eff,146,123
51302915513,abf,90,191
51302941926,dcg,51,289
51302948246,efc,237,50
51302957633,aad,196,265
51302974485,bcg,179,40
51303010311,dcc,194,117
51303029815,cef,201,195
51303090673,gfc,28,158
51303120633,gcc,54,258
51303130308,bcc,67,160
51303136006,fdb,245,226
51303169044,ccd,68,215
51303170799,fgd,137,78
51303171379,fga,219,293
51303195517,fef,9,216
51303206678,afa,70,235
51303225239,fgd,73,86
51303228843,bga,208,81
51303250810,aed,180,152
51303266759,gbd,185,234
51303287072,eae,276,279
51303294449,dfe,292,8
51303327289,ffd,215,162
51303369071,gff,219,166
51303401409,fdc,294,343
51303407580,fde,153,167
51303413983,fdd,293,215
51303482586,aff,76,200
51303537251,fdg,98,136
51303538596,bdg,24,220
51303572306,bfe,173,209
51303590854,cfg,207,137
51303592905,dge,119,248
51303610614,dae,295,294
51303639669,bge,35,166
51303642280,fed,36,294
51303649586,bea,147,256
51303652501,feg,286,268
51303654768,gag,3,100
51303656534,ded,117,267
51303675866,efg,285,103
51303680494,eca,52,272
51303703032,cdc,138,47
51303711914,fgg,143,167
51303767483,ffe,92,287
51303791592,eeb,186,121
51303797908,eeb,155,106
51303835163,ecb,102,231
51303844005,edg,18,249
51303911991,ebg,254,12
51303916784,edd,108,93
51303943671,dea,191,231
51303964117,gfd,281,79
51303964449,cgg,144,93
51303965045,dff,256,84
51304005089,gab,149,175
51304011330,gac,50,126
51304019553,ebg,45,10
51304026163,cbb,44,298
51304064058,acd,21,272
51304064688,dda,198,224
51304065470,bbf,193,137
51304104052,fbe,42,108
51304136627,bgf,76,264
51304179346,dcb,91,207
51304197326,dad,277,188
51304202546,cee,134,124
51304241317,dcc,296,136
51304242723,afe,221,167
51304263999,dec,251,82
51304272438,dba,159,111
51304274269,agg,180,136
51304277711,dfd,118,206
51304288060,adf,71,162
51304291717,dfb,292,74
51304313505,cef,110,195
51304330346,edb,220,261
51304333740,bfg,117,237
51304347018,aag,186,255
51304348322,cag,104,251
51304360074,dab,63,151
51304382844,eaf,134,169
51304385125,egd,229,84
51304386731,daf,199,17
51304389539,ccg,8,245
51304407491,ffc,177,28
51304430308,ebc,85,247
51304464610,ced,250,181
51304480105,ffg,186,158
51304549529,dab,204,176
51304551298,fad,219,225
51304551459,ggc,68,48
51304563269,bfc,11,37
51304568426,aab,257,108
51304571298,fdf,18,146
51304580955,ebe,112,63
51304607859,fef,264,203
51304613429,deb,183,110
51304626394,cbc,71,92
51304636977,gee,289,271
51304639619,efb,162,28
51304700694,ace,211,230
51304826881,gfb,165,106
51304870955,eaa,63,281
51304899096,aac,243,24
51304959652,cbd,200,249
51304966070,egf,92,172
51304973521,fda,62,86
51304990567,bgd,26,67
51305007126,dff,231,90
51305018797,bea,247,286
51305054694,ceb,118,196
51305060642,fba,294,150
51305070984,gcg,79,62
51305103892,fbb,63,252
51305213963,ddf,15,107
51305230423,gcf,198,48
51305231142,fcf,117,45
51305253172,adg,51,182
51305281726,agg,64,108
51305303821,cea,26,148
51305327885,fed,44,252
51305328506,ccb,61,192
51305337089,aaf,232,49
51305363513,gbb,55,150
51305380664,fea,89,290
51305384521,gab,288,196
51305385236,dcf,186,206
51305419447,daa,21,55
51305421514,edd,17,92
51305438725,fce,165,230
51305458094,bdd,59,184
51305461455,edc,205,196
51305462872,eee,17,116
51305465566,gce,218,256
51305473241,eac,98,199
51305552682,ece,15,191
51305591919,bbe,213,30
51305625372,gef,182,257
51305676955,bgd,186,64
51305697536,ffa,160,261
51305724941,dgc,208,154
51305738506,abc,169,143
51305745380,ggg,274,242
51305745479,bdd,150,172
51305760903,cbf,162,217
51305763727,bca,8,45
51305782804,bbd,165,230
51305784379,ecf,293,198
51305788642,fag,299,81
51305820005,agf,202,71
51305885769,fec,123,164
51305915146,fae,136,63
51305934159,fbc,250,239
51305954645,agc,159,216
51305955528,gca,153,266
51305959287,gbg,218,123
51306045363,ffe,289,241
51306109017,bac,82,124
51306127673,ecc,142,230
51306128009,ddg,252,174
51306138911,age,238,116
51306149803,dfa,131,73
51306150402,eda,99,23
51306173872,gdd,257,144
51306187208,adc,163,225
51306188459,cgc,246,128
51306207408,dde,29,46
51306211823,cdd,147,132
51306214114,ega,170,58
51306218665,bgc,30,230
51306221927,cfc,195,291
51306227023,aec,155,9
51306229686,dfb,197,70
51306244685,ccf,122,158
51306245279,adb,58,277
51306250481,add,100,204
51306251271,dag,231,203
51306260211,ggb,119,222
51306305963,acb,254,28
51306348526,dgg,274,216
51306357427,ecg,251,35
51306365728,adf,186,157
51306371665,edd,179,104
51306376513,bgb,176,11
51306404864,bcg,147,42
51306457139,dfd,85,189
51306468467,fab,29,72
51306478746,dfg,112,100
51306491050,bce,211,257
51306511364,bag,39,176
51306527469,cdf,107,261
51306527767,aaf,253,55
51306529594,dgd,63,172
